"StudentID","Age","Sex","StudyHours","SES","BaselineScore","Height","ExamCorrect","Pass","PracticeProblems","ExamTime"
60,17,1,9.7,-0.09,70.4,165.4,15,1,9,69.4
61,17,1,5.2,-1.12,43.1,175.7,8,0,7,56.6
62,16,1,6.1,0.74,56.8,176.6,14,0,8,40
63,18,0,13.8,0.08,46.3,170.8,13,1,15,66
64,18,1,4.7,-0.5,67.5,168.1,12,1,7,54.5
65,18,0,3.4,0.61,68.9,165.4,16,1,4,49
66,17,1,10.9,-0.87,58.6,169.6,15,1,9,23
67,19,0,8.4,1.17,61,176.3,12,1,14,44.6
68,18,0,9.2,-0.77,53.6,169.7,14,1,15,44.8
69,18,1,5.7,-1.81,81.2,169.8,17,1,6,18.1
70,19,1,7.8,-0.92,67.3,169.5,18,0,5,36.5
71,16,1,7.4,-0.36,39.1,169.9,6,0,7,64
72,18,0,7.4,-0.18,38.5,177.9,5,0,9,64
73,19,0,7,-0.8,54.9,179.4,14,0,10,57.7
74,16,1,10.2,-0.39,51,169.7,13,1,5,46.9
75,17,0,3.9,0.27,57.9,175.2,13,0,7,39.4
76,19,1,2.9,0.26,50,162.6,6,0,6,52.7
77,19,1,7.9,0.11,48.3,175.8,10,0,11,21
78,18,1,9.8,-0.92,66.6,173.8,17,1,4,47.2
79,17,0,5.8,0.21,66,174.3,16,1,12,25.4
80,16,1,4.5,1.4,63.4,162.1,10,1,3,47.5
81,17,0,3.8,-0.81,54.7,173.4,11,1,5,31
82,16,1,5.7,1.92,65,164.3,16,1,6,44
83,19,1,1.9,0.87,36.3,168.6,3,0,2,80.4
84,16,1,7.8,-1.26,38.7,174.9,7,0,6,97.4
85,17,0,2.8,-0.96,69.1,164.9,14,1,4,47.8
86,16,1,3.1,-0.3,49.6,161.7,7,1,8,71.4
87,19,0,7.4,0,58.4,184.8,13,1,7,44.6
88,16,1,5.6,-0.91,76.9,156.9,17,1,9,21.2
89,17,0,7.8,-0.65,50.1,176.1,9,1,8,37.2
90,17,1,2.8,0.38,42.5,166.6,8,1,4,96.1
91,16,0,7.9,0.28,19.4,167.8,4,1,4,66.5
92,19,1,7.4,-0.75,52.8,164.8,8,0,4,53.3
93,19,0,7.6,-0.47,52.8,175.4,10,1,6,57.4
94,17,0,6.5,-0.91,66.5,174.8,17,1,7,30
95,18,1,6.9,-2.6,48.6,169.3,14,0,5,58.5
96,18,0,2.2,-0.59,51.4,181.8,10,0,2,30.7
97,19,0,9.8,-0.64,53.4,179.2,12,1,8,37.4
98,18,0,3.1,-0.11,59.1,175.7,11,1,1,32.7
99,19,1,2.4,-0.98,62.6,174,12,1,3,22.9
100,18,0,2.2,0.48,46.8,177.9,7,1,4,51.5
101,17,1,6.3,-1.41,58.4,174.6,10,1,5,63.8
102,16,1,6.7,1.63,59.2,169.4,12,1,9,59.8
103,18,0,2.5,-1.13,55.9,179.9,13,0,9,47.5
104,17,0,9.7,0.44,71.9,180.4,17,1,19,49.3
105,17,1,3.4,1.9,33.7,166.1,7,0,11,65.4
106,17,1,7.9,-0.7,62.4,167.9,12,0,4,36.7
107,19,1,5.9,-0.37,69.7,183.7,16,1,9,52.1
108,19,0,3.8,-0.68,40.1,176.5,9,0,3,68.7
109,17,0,7.4,0.1,56.7,176.3,13,1,8,43
110,18,1,9.7,0.55,43.3,172.8,10,0,10,65.9
111,18,0,1.4,-1.52,50.7,186,8,0,9,56.7
112,16,0,6.9,-1.02,55.4,177.6,17,0,6,32.6
113,17,1,5.1,-1.39,53,169.4,10,1,7,57.9
114,18,0,2.9,0.43,78.5,178.8,12,1,6,34.4
115,17,1,4.6,0.37,53.9,153.3,12,1,4,80.4
116,17,0,6.6,-0.71,38.8,172.4,9,0,10,58.1
117,18,1,4.6,-1.02,45.9,174.7,9,0,6,56.3
118,17,1,7.7,-1.64,51.2,180.5,12,1,5,79.1
119,17,1,3,0.68,49.6,168.8,10,1,4,52.8
120,19,1,10.7,-0.75,62.5,177.5,15,1,13,45.9
121,18,1,9,0.72,46.8,171.7,12,1,6,69.8
122,17,1,9.3,2,61.6,161.9,18,1,9,26.5
123,18,1,7.7,1.35,51.1,171.7,13,0,18,50.4
124,19,0,8.6,-0.83,41.2,182,9,0,14,46.2
125,18,1,2.3,1.14,54.2,172.8,14,0,10,32.4
126,17,0,7.5,-0.67,47.4,176.4,14,1,4,39.1
127,18,1,3.2,0.29,55.2,171.3,13,0,3,69.9
128,18,0,13.6,0.16,74.5,173.6,20,1,15,33.5
129,17,0,3.7,0.54,53.9,177.8,11,0,6,78.8
130,18,0,5.6,0.01,53.1,169.3,12,1,9,30
131,18,1,6.7,0.29,37.4,175.1,9,0,10,38.4
132,19,1,11.3,0.63,57.7,175.1,12,1,14,42.8
133,17,0,8.8,-2.12,52.8,159.6,12,1,8,38.4
134,17,1,6.6,-0.27,72.7,165.7,17,1,11,21.8
135,16,1,10,0.38,31.6,171.6,11,1,15,62.3
136,17,1,9.9,0.21,45,157.8,11,1,6,95.9
137,17,1,6.5,0.13,48.6,175.5,9,1,5,66.6
138,18,0,6.8,1.73,55.8,183,12,0,8,45
139,18,0,20.9,-0.13,47.6,181.7,15,1,26,87.6
140,18,1,6.7,0.09,57.4,171,10,0,7,58.4
141,19,1,6.2,-0.12,84.7,171.6,16,1,10,23.4
142,17,1,4.6,2.35,50.4,160.4,10,0,10,34.8
143,18,0,14.3,-0.62,56.2,175.4,18,0,20,33.7
144,19,0,6,1.1,46.1,177.8,8,0,9,61.3
145,16,0,9.2,1.14,68,179.2,16,1,17,59
146,17,1,1.1,-0.74,40.2,169.5,4,1,1,40.8
147,17,0,3.5,1.24,49.9,170,11,1,5,55.9
148,19,1,1.7,0.59,58.2,179.4,14,0,6,74
149,19,1,4.3,1.01,65.3,178.6,10,1,8,48.5
150,17,0,7.8,-1.75,58,170.2,17,1,4,39
151,17,0,4.3,-0.77,62.7,175.1,17,1,3,36.2
152,17,0,4.3,-0.39,38.2,169.6,4,1,5,65
153,16,1,2.8,0.19,48.1,161.7,6,0,6,54.5
154,18,0,4.4,-0.06,53.9,171.3,14,1,10,59
155,19,0,6.9,-0.15,67.6,176.9,13,1,12,60
156,19,0,1.9,0.6,54.8,173.9,13,1,5,41.6
157,18,0,6.7,0.91,52,180,9,1,13,37.5
158,19,0,4,1.67,55.9,182.2,14,1,8,67.1
159,19,0,6,0.6,41.9,178.3,7,0,7,65.6
160,17,1,11.7,-1.16,38,176.4,8,0,14,55.5
161,17,1,8.3,-1.37,60.1,170.7,17,0,12,29.9
162,18,0,8,1.33,44.1,179.3,9,1,7,63.7
163,16,0,9.6,-0.39,58.5,167.6,16,0,13,28.5
164,17,1,6.9,0.35,39.7,175.3,6,0,14,81.4
165,17,0,19.8,0.4,46.2,173.3,13,1,27,37.3
166,18,0,7,0.67,55.7,173.5,13,1,7,57.1
167,17,0,9.7,-0.42,41.3,177.1,15,0,8,50.6
168,18,0,9,-0.33,53,171.8,13,1,12,37.6
169,18,1,8.3,0.44,57.8,165.9,14,1,7,81.3
170,17,0,9.6,-0.78,74.3,179.3,16,0,6,50.9
171,16,0,7,-0.23,47.1,174.6,9,1,7,41.9
172,19,0,15.9,-0.58,60.4,184.1,19,1,11,47.3
173,18,1,4.2,-1.1,63.5,174.7,13,1,7,60.1
174,19,0,8.9,0.16,83,179.9,19,1,9,40
175,17,0,4.1,0.45,76.2,168,16,1,7,45.4
176,18,0,9.2,0.1,65.8,173.1,16,0,11,25.5
177,16,0,6.2,0.33,71,168.4,12,1,7,48.5
178,16,0,11.2,-0.09,50.8,174.4,13,1,14,64.2
179,16,0,2.4,-0.18,67.7,168.7,14,1,8,44.3
180,18,1,4,-1.57,47.6,174.7,12,0,4,65
181,17,1,10,1.21,62.9,171.2,15,1,11,55.2
182,17,0,5.3,1.46,56.4,171,10,1,7,77.6
183,16,1,3.2,0.87,48.9,158.5,8,0,4,78.5
184,19,0,12.3,0.59,59.9,178.1,16,1,12,24
185,18,1,9.6,0.08,65.3,169.5,15,1,11,60.1
186,17,0,8.6,-0.4,62.6,164.7,15,1,10,67.5
187,16,1,10.4,0.19,41.7,163.3,12,1,14,34.9
188,17,0,4.8,-0.55,35.9,179.1,10,0,4,72.1
189,17,1,7.3,0.7,52.4,164.6,11,0,9,48.4
190,18,0,2.3,0.4,40.4,172.4,7,0,3,71.6
191,18,1,7.2,0.01,55.1,180,13,1,12,29.6
192,17,0,4.3,-0.26,54.8,173.1,12,0,2,84.2
193,17,0,6.9,0.3,49,164.5,5,0,5,42.4
194,16,0,5,0.72,34.8,163.4,8,0,4,89.9
195,18,0,5.4,1.42,49.6,186.5,6,0,6,43.4
196,18,1,5.2,-1.37,49.8,177,12,0,4,31.9
197,17,0,6.1,-0.6,35.1,171.8,6,0,9,100.2
198,18,1,7.1,1.71,62.2,161.5,16,1,8,14.9
199,19,0,8.6,-0.16,53,169.4,14,0,8,46.4
200,17,0,3.1,1.6,55.7,165.9,10,0,7,68.8
201,16,1,12,-0.8,62.2,158,18,1,10,63.3
202,19,1,4.1,1.18,68.9,172.8,13,1,10,30.2
203,18,0,7.6,-0.86,39.3,181.8,6,0,7,69.6
204,16,1,6.5,-0.87,82.9,162.8,17,1,8,46.1
205,18,0,6.2,0.3,46.9,171.8,5,1,5,56.4
206,19,0,4,-0.27,56.1,172.9,11,0,6,57.9
207,17,1,4.6,-1.11,61.6,162,11,0,3,63.3
208,16,1,5.8,-1.11,49.3,163,8,1,7,52.3
209,16,1,8.6,0.31,68.5,158.8,17,1,8,29.1
210,18,1,3.9,-1.09,51.1,179.9,7,0,3,58.8
211,19,0,4.6,1.02,52.5,177.5,11,0,4,43
212,17,1,7.3,1.29,84,173.1,15,1,12,37.5
213,17,1,3.9,-1.21,55.5,164.9,7,1,4,52
214,17,0,10.7,-1.75,60.3,173.1,15,1,10,34.3
215,16,1,5.5,-2.2,29.4,160.1,7,0,12,104.1
216,18,0,5.6,0.78,56.8,171.8,11,1,2,32.3
217,17,1,3,-1.09,55.2,165.9,13,0,5,54.9
218,17,0,7.2,1.02,36.9,171.8,8,0,6,52.4
219,17,0,16.6,-0.21,52.1,173.6,17,1,14,37.8
220,18,1,4.3,-1.34,44.1,172.1,10,0,5,57.3
221,17,1,7.5,-0.88,44.1,172.1,6,1,9,85.3
222,19,0,10.3,0.05,54.1,174.9,13,1,13,35.5
223,17,0,4.9,2.02,56.1,177.5,14,0,7,50.7
224,19,0,7.7,0.37,57.9,181.4,16,1,8,80.9
225,18,1,2.6,-1.61,71.1,163.6,11,1,6,56.7
226,16,1,8.5,-0.5,48.7,158.5,12,1,4,44.4
227,19,1,6,-1.2,55,182.2,11,1,8,41.5
228,17,0,2.2,-1.07,57.7,173.6,10,1,4,65.3
229,17,1,3.6,0.75,64.5,166.6,16,1,4,56.7
230,17,1,3.5,-0.44,41.3,169.4,5,0,8,52.1
231,18,1,7.7,1.08,55.6,164.7,11,1,7,53.2
232,17,1,5.2,0.24,56.8,166.9,10,1,7,66.1
233,18,1,5.7,0.05,39.4,174.8,9,0,8,40.1
234,18,0,3.5,1.65,39,173.2,4,0,8,77.6
235,16,1,6.6,-0.53,70.1,161.7,17,0,9,37.8
236,19,1,5.6,0.33,64.2,170.5,16,1,7,67.4
237,16,1,5.5,3.42,47.5,172.2,9,0,11,34.4
238,17,1,6.4,-0.36,58,170.6,11,0,9,74.7
239,17,0,7.7,1.79,53.2,165.2,12,1,11,18.1
240,16,1,6.5,-1.59,45.7,161.7,11,0,12,46.2
241,16,0,6.7,0.28,65,159.5,14,1,6,44.6
242,18,1,7.5,-0.55,47,171.4,8,1,9,57.6
243,16,1,2.4,-1.52,56.7,166.3,9,1,2,60.7
244,16,1,6.2,-0.62,62,163.7,10,0,3,26.6
245,18,0,6.4,2.33,68.9,170.2,14,1,11,54.4
246,18,0,14.3,-0.19,47,166.9,14,1,15,42.8
247,16,1,3.9,-0.57,71.1,162.3,14,1,5,55.7
248,18,1,8.3,1.05,80.2,159.6,20,1,10,31
249,17,0,9,-0.69,56.5,177.6,8,1,9,61.5
250,17,1,4.9,0.24,44.8,164.7,6,1,5,56.6
